serviceId,serviceName,project,cpuPercent,memoryPercent,memoryBytesMB,networkRxKB,networkTxKB,statusCode,upstreamCount,downstreamCount,edgeErrorRate,edgeLatencyMs,zScoreCpu
"sock-shop-user-sim","user-sim","sock-shop",0,1.2,11.21,432.95,34.18,0,0,0,0,0,-0.33
"sock-shop-orders-db","orders-db","sock-shop",1.9,0.8,7.29,186.88,262.8,0,1,0,0,12,-0.32
"sock-shop-carts-db","carts-db","sock-shop",1.5,2.2,20.29,5811.52,5176.92,0,1,0,0,12,-0.32
"sock-shop-shipping","shipping","sock-shop",0.5,0.6,5.05,5.54,0.12,0,2,1,0,12,-0.33
"sock-shop-queue-master","queue-master","sock-shop",0.5,0.6,5.54,60.06,56.28,0,0,2,0,12,-0.33
"sock-shop-catalogue","catalogue","sock-shop",0,0.3,2.75,27933.04,30324.2,0,1,1,0,12,-0.33
"sock-shop-payment","payment","sock-shop",0,0.1,0.77,1.5,0.12,0,1,0,0,12,-0.33
"sock-shop-edge-router","edge-router","sock-shop",0.1,1.2,10.57,120948.02,123892.61,0,0,1,0,12,-0.33
"sock-shop-carts","carts","sock-shop",951.1,9.9,90.47,9086.11,10011.34,1,2,1,0,12,3.83
"sock-shop-rabbitmq","rabbitmq","sock-shop",3.6,1.3,11.48,61.6,54.84,0,2,0,0,12,-0.31
"sock-shop-user-db","user-db","sock-shop",29.7,0.8,7.47,235.97,225.52,0,2,0,0,12,-0.2
"sock-shop-front-end","front-end","sock-shop",0,2.5,23.2,45511.78,112485.65,0,1,4,0,12,-0.33
"sock-shop-orders","orders","sock-shop",442.7,13.4,121.66,16.38,9.01,1,1,5,0,12,1.61
"sock-shop-user","user","sock-shop",0,0.6,5.66,1573.06,2136.42,0,2,2,0,12,-0.33
"sock-shop-catalogue-db","catalogue-db","sock-shop",0.4,0.4,3.71,4658.2,24873.16,0,1,0,0,12,-0.33
"vertikal-gateway","vertikal-gateway","vertikal",0,0.02,2.97,225.22,0.12,0,0,2,0,0,-0.33
"vertikal-auth","vertikal-auth","vertikal",0.02,0.09,13.78,233.18,8.37,0,1,1,0,0,-0.33
"vertikal-rest","vertikal-rest","vertikal",0.03,0.16,24.73,250.15,33.57,0,1,1,0,0,-0.33
"vertikal-db","vertikal-db","vertikal",0,0.22,33.43,265.58,36.14,0,3,0,0,0,-0.33
