[collector] writing to /home/royson/Documents/projects/microservice-mapper/ml/data/metrics_raw.csv, polling http://localhost:3001
[collector] 2026-09-17T02:21:37.531112+00:00 wrote 17 node rows
[collector] 2026-09-17T02:21:47.541212+00:00 wrote 17 node rows
[collector] 2026-09-17T02:21:57.547049+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:07.553700+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:17.558198+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:27.564494+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:37.568028+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:47.573357+00:00 wrote 17 node rows
[collector] 2026-09-17T02:22:57.578269+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:07.582861+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:17.587705+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:27.592526+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:37.598510+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:47.603294+00:00 wrote 17 node rows
[collector] 2026-09-17T02:23:57.606526+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:07.611261+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:17.618176+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:27.624769+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:37.629720+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:47.634440+00:00 wrote 17 node rows
[collector] 2026-09-17T02:24:57.638400+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:07.642474+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:17.647784+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:27.653348+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:37.657278+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:47.662027+00:00 wrote 17 node rows
[collector] 2026-09-17T02:25:57.665294+00:00 wrote 17 node rows
[collector] 2026-09-17T02:26:07.668802+00:00 wrote 17 node rows
[collector] 2026-09-17T02:26:17.672969+00:00 wrote 17 node rows
[collector] 2026-09-17T02:26:27.675790+00:00 wrote 17 node rows
[collector] 2026-09-17T02:26:37.679789+00:00 wrote 17 node rows
[collector] 2026-09-17T02:26:47.683301+00:00 wrote 17 node rows
